,Symbol,Name,Stock Exchange,RBICS Economy,Sales,MSCI ESG Rtg Score Environmental,MSCI ESG Rtg Score Governance,MSCI ESG Rtg Score Social,MSCI ESG Rtg Overall Company Rating,ESG Rating
1392,V,Visa Inc. Class A,NYSE,Finance,"22,882.0",9.3,4.9,4.9,A,High
1393,VAC,Marriott Vacations Worldwide Corporation,NYSE,Consumer Services,"3,717.0",1.9,4.7,8.6,BBB,Low
1394,VAR,"Varian Medical Systems, Inc.",NYSE,Healthcare,"3,193.1",10.0,5.2,5.1,BBB,Low
1395,VBTX,"Veritex Holdings, Inc.",NASDAQ,Finance,395.9,1.9,5.5,3.6,B,Low
1396,VC,Visteon Corporation,NASDAQ,Consumer Cyclicals,"2,488.0",4.2,7.6,3.8,BBB,Low
1397,VECO,Veeco Instruments Inc.,NASDAQ,Technology,425.3,6.5,6.9,3.3,BB,Low
1398,VFC,V.F. Corporation,NYSE,Consumer Cyclicals,"9,257.7",6.4,5.7,4.9,AA,High
1399,VG,Vonage Holdings Corp.,NASDAQ,Telecommunications,"1,220.2",6.3,4.9,4.4,B,Low
1400,VGR,Vector Group Ltd.,NYSE,Consumer Non-Cyclicals,"1,844.6",0.0,3.5,4.6,BBB,Low
1401,VIAC,ViacomCBS Inc. Class B,NASDAQ,Consumer Services,"32,780.0",9.0,4.2,4.4,BB,Low
1402,VIAV,Viavi Solutions Inc,NASDAQ,Technology,"1,136.3",3.9,7.8,3.3,BB,Low
1403,VICR,Vicor Corporation,NASDAQ,Technology,268.1,5.0,3.4,7.4,BB,Low
1404,VIVO,"Meridian Bioscience, Inc.",NASDAQ,Healthcare,240.4,6.0,4.7,5.4,BBB,Low
1405,VLO,Valero Energy Corporation,NYSE,Energy,"87,579.0",3.0,6.6,7.8,BBB,Low
1406,VLY,Valley National Bancorp,NASDAQ,Finance,"1,553.2",1.3,6.0,4.4,BBB,Low
1407,VMC,Vulcan Materials Company,NYSE,Non-Energy Materials,"4,976.7",3.1,6.0,4.0,BB,Low
1408,VMI,"Valmont Industries, Inc.",NYSE,Non-Energy Materials,"2,736.8",3.6,4.6,4.1,A,High
1409,VNDA,Vanda Pharmaceuticals Inc.,NASDAQ,Healthcare,240.6,4.9,5.0,3.8,BB,Low
1410,VNO,Vornado Realty Trust,NYSE,Finance,"2,334.2",8.3,4.1,1.9,BB,Low
1411,VRA,"Vera Bradley, Inc.",NASDAQ,Consumer Cyclicals,473.5,,,,@NA,Low
1412,VREX,Varex Imaging Corporation,NASDAQ,Healthcare,770.7,10.0,4.7,6.6,A,High
1413,VRSK,Verisk Analytics Inc,NASDAQ,Business Services,"2,698.1",9.0,4.8,5.9,BBB,Low
1414,VRSN,"VeriSign, Inc.",NASDAQ,Technology,"1,245.9",7.6,6.0,3.9,BBB,Low
1415,VRTS,"Virtus Investment Partners, Inc.",NASDAQ,Finance,546.2,6.7,6.8,2.9,BBB,Low
1416,VRTU,Virtusa Corporation,NASDAQ,Technology,"1,294.1",4.1,6.1,5.8,A,High
1417,VRTV,Veritiv Corp,NYSE,Consumer Cyclicals,"6,871.8",,,,@NA,Low
1418,VRTX,Vertex Pharmaceuticals Incorporated,NASDAQ,Healthcare,"5,369.9",5.3,5.4,5.4,AA,High
1419,VSAT,"ViaSat, Inc.",NASDAQ,Telecommunications,"2,302.7",3.5,4.1,4.5,B,Low
1420,VSH,"Vishay Intertechnology, Inc.",NYSE,Technology,"2,432.5",4.5,2.6,5.7,BBB,Low
1421,VSTO,Vista Outdoor Inc,NYSE,Consumer Cyclicals,"1,775.2",3.2,5.9,5.9,A,High
1422,VTOL,Bristow Group Inc,NYSE,Energy,445.0,,,,@NA,Low
1423,VTR,"Ventas, Inc.",NYSE,Finance,"3,934.4",6.4,5.6,4.4,BBB,Low
1424,VVI,Viad Corp,NYSE,Business Services,"1,020.7",7.0,5.9,5.9,A,High
1425,VVV,Valvoline Inc.,NYSE,Non-Energy Materials,"2,330.0",3.7,7.4,0.4,BB,Low
1426,VZ,Verizon Communications Inc.,NYSE,Telecommunications,"129,726.0",10.0,5.6,4.6,BBB,Low
1427,WAB,Westinghouse Air Brake Technologies Corporation,NYSE,Industrials,"8,037.4",3.9,5.9,4.2,BB,Low
1428,WABC,Westamerica Bancorporation,NASDAQ,Finance,205.8,0.1,5.8,4.0,BB,Low
1429,WAFD,"Washington Federal, Inc.",NASDAQ,Finance,734.5,5.0,6.5,3.5,BB,Low
1430,WAT,Waters Corporation,NYSE,Healthcare,"2,278.5",10.0,6.7,5.5,AA,High
1431,WBA,Walgreens Boots Alliance Inc,NASDAQ,Consumer Non-Cyclicals,"138,745.0",8.4,6.8,3.3,BBB,Low
1432,WBS,Webster Financial Corporation,NYSE,Finance,"1,341.6",2.5,6.9,4.3,A,High
1433,WD,"Walker & Dunlop, Inc.",NYSE,Finance,922.9,5.8,6.2,3.0,B,Low
1434,WDC,Western Digital Corporation,NASDAQ,Technology,"16,736.0",3.7,7.1,3.2,BB,Low
1435,WDFC,WD-40 Company,NASDAQ,Non-Energy Materials,403.6,2.7,6.5,3.1,B,Low
1436,WDR,"Waddell & Reed Financial, Inc. Class A",NYSE,Finance,"1,045.1",6.7,6.0,3.0,B,Low
1437,WEC,WEC Energy Group Inc,NYSE,Utilities,"7,212.8",6.1,6.5,4.9,A,High
1438,WELL,"Welltower, Inc.",NYSE,Finance,"4,974.5",6.5,5.0,5.8,A,High
1439,WEN,Wendy's Company,NASDAQ,Consumer Services,"1,672.3",9.1,3.1,4.4,BBB,Low
1440,WERN,"Werner Enterprises, Inc.",NASDAQ,Industrials,"2,401.7",4.6,5.0,4.7,A,High
1441,WETF,"WisdomTree Investments, Inc.",NASDAQ,Finance,258.6,8.0,6.7,3.3,BB,Low
1442,WEX,WEX Inc.,NYSE,Finance,"1,678.8",6.7,5.2,4.8,A,High
1443,WFC,Wells Fargo & Company,NYSE,Finance,"93,005.0",7.8,3.9,2.7,CCC,Low
1444,WGO,"Winnebago Industries, Inc.",NYSE,Consumer Cyclicals,"2,148.1",3.2,6.9,2.4,BB,Low
1445,WH,"Wyndham Hotels & Resorts, Inc.",NYSE,Consumer Services,"1,719.0",3.1,5.3,4.9,BB,Low
1446,WHR,Whirlpool Corporation,NYSE,Consumer Cyclicals,"18,839.0",4.8,6.0,3.8,BB,Low
1447,WING,"Wingstop, Inc.",NASDAQ,Consumer Services,224.6,4.6,5.2,4.4,BB,Low
1448,WIRE,Encore Wire Corporation,NASDAQ,Industrials,"1,179.8",2.7,3.8,7.2,B,Low
1449,WLTW,Willis Towers Watson Public Limited Company,NASDAQ,Finance,"9,265.0",9.1,6.6,5.0,A,High
1450,WM,"Waste Management, Inc.",NYSE,Business Services,"15,103.0",5.2,4.8,5.3,BBB,Low
1451,WMB,"Williams Companies, Inc.",NYSE,Energy,"7,800.0",3.6,4.4,6.2,BB,Low
1452,WMT,Walmart Inc.,NYSE,Consumer Non-Cyclicals,"534,661.0",7.1,5.8,3.4,BBB,Low
1453,WNC,Wabash National Corporation,NYSE,Industrials,"1,886.1",4.1,6.9,4.9,BBB,Low
1454,WOR,"Worthington Industries, Inc.",NYSE,Non-Energy Materials,"3,059.1",2.4,3.8,3.7,BB,Low
1455,WPG,Washington Prime Group Inc.,NYSE,Finance,580.3,,,,@NA,Low
1456,WPX,"WPX Energy, Inc.",NYSE,Energy,"2,099.0",1.3,6.1,3.4,B,Low
1457,WRB,W. R. Berkley Corporation,NYSE,Finance,"7,832.5",1.9,4.9,3.4,B,Low
1458,WRE,Washington Real Estate Investment Trust,NYSE,Finance,310.6,6.5,6.0,1.2,BB,Low
1459,WRI,Weingarten Realty Investors,NYSE,Finance,444.2,5.8,4.4,2.8,B,Low
1460,WRK,WestRock Company,NYSE,Non-Energy Materials,"17,758.9",4.6,6.2,4.3,BB,Low
1461,WRLD,World Acceptance Corporation,NASDAQ,Finance,575.5,6.7,6.0,3.4,B,Low
1462,WSM,"Williams-Sonoma, Inc.",NYSE,Consumer Cyclicals,"5,892.1",4.9,7.2,4.7,A,High
1463,WSO,"Watsco, Inc.",NYSE,Industrials,"4,830.8",2.8,5.6,6.5,BB,Low
1464,WSR,Whitestone REIT,NYSE,Finance,122.6,5.3,5.7,2.7,B,Low
1465,WST,"West Pharmaceutical Services, Inc.",NYSE,Healthcare,"1,949.0",10.0,4.9,6.5,AA,High
1466,WTFC,Wintrust Financial Corporation,NASDAQ,Finance,"1,881.6",1.7,7.6,4.0,BBB,Low
1467,WTRG,"Essential Utilities, Inc.",NYSE,Utilities,"1,109.7",4.4,6.2,6.1,BBB,Low
1468,WTS,"Watts Water Technologies, Inc. Class A",NYSE,Industrials,"1,516.3",4.4,6.4,6.3,A,High
1469,WU,Western Union Company,NYSE,Finance,"4,905.6",6.7,6.8,4.8,A,High
1470,WW,"WW International, Inc.",NASDAQ,Consumer Non-Cyclicals,"1,415.1",6.5,5.4,5.1,A,High
1471,WWD,"Woodward, Inc.",NASDAQ,Industrials,"2,700.9",5.2,4.8,6.8,A,High
1472,WWE,"World Wrestling Entertainment, Inc. Class A",NYSE,Consumer Services,"1,023.6",6.7,4.7,4.8,BB,Low
1473,WWW,"Wolverine World Wide, Inc.",NYSE,Consumer Cyclicals,"1,970.1",2.8,5.8,6.4,A,High
1474,WY,Weyerhaeuser Company,NYSE,Finance,"6,578.0",4.7,6.2,7.2,A,High
1475,WYND,"Wyndham Destinations, Inc.",NYSE,Consumer Services,"2,981.0",3.4,5.7,3.9,B,Low
1476,WYNN,"Wynn Resorts, Limited",NASDAQ,Consumer Services,"4,340.6",3.4,3.5,3.3,CCC,Low
1477,X,United States Steel Corporation,NYSE,Non-Energy Materials,"10,732.0",1.5,4.5,2.7,CCC,Low
1478,XEC,Cimarex Energy Co.,NYSE,Energy,"1,961.8",2.3,5.7,2.8,BB,Low
1479,XEL,Xcel Energy Inc.,NASDAQ,Utilities,"11,219.0",6.8,7.4,6.5,AA,High
1480,XHR,"Xenia Hotels & Resorts, Inc.",NYSE,Finance,783.1,5.9,6.7,1.0,BB,Low
1481,XLNX,"Xilinx, Inc.",NASDAQ,Technology,"3,039.7",4.4,7.0,5.0,BBB,Low
1482,XNCR,"Xencor, Inc.",NASDAQ,Healthcare,70.8,7.1,3.6,3.7,B,Low
1483,XOM,Exxon Mobil Corporation,NYSE,Energy,"213,042.0",4.2,4.2,5.4,BBB,Low
1484,XPER,Xperi Holding Corporation,NASDAQ,Technology,403.7,5.6,5.9,2.6,B,Low
1485,XPO,"XPO Logistics, Inc.",NYSE,Industrials,"15,656.0",6.5,5.1,3.0,B,Low
1486,XRAY,"DENTSPLY SIRONA, Inc.",NASDAQ,Healthcare,"3,438.5",8.8,4.1,6.4,BBB,Low
1487,XRX,Xerox Holdings Corporation,NYSE,Technology,"7,898.0",5.3,4.7,5.4,A,High
1488,XYL,Xylem Inc.,NYSE,Industrials,"4,956.0",6.5,7.3,5.5,AAA,High
1489,Y,Alleghany Corporation,NYSE,Finance,"8,355.5",2.5,6.9,3.9,B,Low
1490,YELP,Yelp Inc,NYSE,Technology,950.2,6.2,6.6,1.5,B,Low
1491,YETI,"YETI Holdings, Inc.",NYSE,Consumer Non-Cyclicals,948.1,3.7,5.6,6.3,AA,High
1492,YUM,"Yum! Brands, Inc.",NYSE,Consumer Services,"5,494.0",6.9,5.8,3.7,BB,Low
1493,ZBH,"Zimmer Biomet Holdings, Inc.",NYSE,Healthcare,"7,028.0",9.5,4.6,3.4,B,Low
1494,ZBRA,Zebra Technologies Corporation Class A,NASDAQ,Technology,"4,296.0",2.6,7.2,6.0,AA,High
1495,ZEUS,"Olympic Steel, Inc.",NASDAQ,Non-Energy Materials,"1,306.6",,,,@NA,Low
1496,ZION,"Zions Bancorporation, N.A.",NASDAQ,Finance,"3,111.0",0.3,8.5,4.7,A,High
1497,ZTS,"Zoetis, Inc. Class A",NYSE,Healthcare,"6,340.0",4.8,5.6,4.4,A,High
1498,ZUMZ,Zumiez Inc.,NASDAQ,Consumer Cyclicals,959.0,3.0,7.0,4.4,BBB,Low
1499,ZYXI,"Zynex, Inc.",NASDAQ,Healthcare,60.5,6.2,3.1,6.9,BBB,Low
