,Symbol,Name,Stock Exchange,RBICS Economy,Sales,MSCI ESG Rtg Score Environmental,MSCI ESG Rtg Score Governance,MSCI ESG Rtg Score Social,MSCI ESG Rtg Overall Company Rating,ESG Rating
1208,SHW,Sherwin-Williams Company,NYSE,Non-Energy Materials,"17,732.8",6.4,5.5,0.6,BBB,Low
1209,SIG,Signet Jewelers Limited,NYSE,Consumer Cyclicals,"5,557.5",1.4,6.2,5.0,BBB,Low
1210,SIGI,"Selective Insurance Group, Inc.",NASDAQ,Finance,"2,848.8",1.4,6.5,3.6,BB,Low
1211,SITC,SITE Centers Corp.,NYSE,Finance,496.7,4.5,6.3,4.0,BB,Low
1212,SIVB,SVB Financial Group,NASDAQ,Finance,"3,538.8",2.1,8.0,4.3,A,High
1213,SIX,Six Flags Entertainment Corporation,NYSE,Consumer Services,"1,003.8",2.4,6.1,4.5,BB,Low
1214,SJI,"South Jersey Industries, Inc.",NYSE,Utilities,"1,497.2",3.9,6.2,8.9,A,High
1215,SJM,J.M. Smucker Company,NYSE,Consumer Non-Cyclicals,"7,801.0",3.9,4.1,4.5,BBB,Low
1216,SKT,"Tanger Factory Outlet Centers, Inc.",NYSE,Finance,421.0,6.3,4.5,3.7,BB,Low
1217,SKX,"Skechers U.S.A., Inc. Class A",NYSE,Consumer Cyclicals,"4,656.5",2.0,4.0,3.9,B,Low
1218,SKYW,"SkyWest, Inc",NASDAQ,Industrials,"2,583.9",0.0,5.5,5.3,B,Low
1219,SLAB,Silicon Laboratories Inc.,NASDAQ,Technology,865.1,4.6,7.0,4.9,BBB,Low
1220,SLB,Schlumberger NV,NYSE,Energy,"29,579.0",7.3,4.2,4.9,BBB,Low
1221,SLCA,"U.S. Silica Holdings, Inc.",NYSE,Non-Energy Materials,"1,143.0",,,,@NA,Low
1222,SLG,SL Green Realty Corp.,NYSE,Finance,"1,177.4",7.7,2.9,6.5,BBB,Low
1223,SLGN,Silgan Holdings Inc.,NASDAQ,Non-Energy Materials,"4,576.5",5.0,4.9,4.1,B,Low
1224,SLM,SLM Corp,NASDAQ,Finance,"2,566.1",6.7,7.0,3.8,BB,Low
1225,SLP,"Simulations Plus, Inc.",NASDAQ,Healthcare,40.1,6.7,6.2,4.2,BBB,Low
1226,SM,SM Energy Company,NYSE,Energy,"1,366.7",,,,@NA,Low
1227,SMG,Scotts Miracle-Gro Company Class A,NYSE,Non-Energy Materials,"3,739.0",4.5,6.3,0.5,BB,Low
1228,SMP,"Standard Motor Products, Inc.",NYSE,Consumer Cyclicals,"1,051.2",2.5,5.5,4.6,BB,Low
1229,SMTC,Semtech Corporation,NASDAQ,Technology,548.9,5.1,6.1,5.0,BB,Low
1230,SNA,Snap-on Incorporated,NYSE,Industrials,"3,772.0",4.4,6.3,5.0,A,High
1231,SNBR,Sleep Number Corporation,NASDAQ,Consumer Non-Cyclicals,"1,673.4",3.0,6.3,5.5,A,High
1232,SNEX,StoneX Group Inc.,NASDAQ,Finance,"51,134.3",4.2,6.5,2.6,BBB,Low
1233,SNPS,"Synopsys, Inc.",NASDAQ,Technology,"3,398.5",4.3,4.0,4.7,BB,Low
1234,SNV,Synovus Financial Corp.,NYSE,Finance,"2,420.1",0.9,7.4,3.7,BB,Low
1235,SNX,SYNNEX Corporation,NYSE,Technology,"23,581.7",3.8,5.6,5.2,BBB,Low
1236,SO,Southern Company,NYSE,Utilities,"20,321.0",6.6,4.4,5.2,AA,High
1237,SON,Sonoco Products Company,NYSE,Non-Energy Materials,"5,215.6",5.1,6.4,4.6,BBB,Low
1238,SPG,"Simon Property Group, Inc.",NYSE,Finance,"5,318.0",6.9,4.5,3.7,BB,Low
1239,SPGI,"S&P Global, Inc.",NYSE,Technology,"7,153.0",10.0,6.1,2.8,A,High
1240,SPOK,"Spok Holdings, Inc.",NASDAQ,Telecommunications,152.0,,,,@NA,Low
1241,SPPI,"Spectrum Pharmaceuticals, Inc.",NASDAQ,Healthcare,0.0,5.1,5.2,3.4,B,Low
